crisis_id,crisis_name,discourse_record_id,source_date,actor_id,actor_name,claim_summary,textual_evidence,international_criteria,bargain_actor_context,settlement_context,constitutional_context,source_ids
CR-2001-02,Ratsiraka–Ravalomanana disputed presidential election and dual authority crisis,DISC_2002_002,2002-02-22,PER_005,Didier Ignace Ratsiraka,Ratsiraka’s counter-claim is coded as constitutional/procedural legality discourse around the disputed election and runoff process.,Ratsiraka’s counter-claim is coded as constitutional/procedural legality discourse around the disputed election and runoff process.,INST_SENEGAL; Senegal/Dakar; UN,Didier Ignace Ratsiraka; Marc Ravalomanana; Republic of Senegal / Dakar mediation; United Nations; claimant_or_signatory; host_or_mediator; mediator_or_observer; state_elite; foreign_state; international_organization,"Dakar I Agreement; Dakar II Agreement / Dakar II Settlement Plan; Provided for review/recount of presidential results, referendum if needed, government of national unity, consensus prime minister, and lifting of blockades/violence.; Proposed early legislative elections, transitional government and reconciliation council to settle competing presidential claims, but was overtaken by later political-constitutional developments.; Resolve competing presidential claims through mediated electoral/legal mechanism.; Move from dual authority toward accepted presidential settlement.",,DISCSRC_2002_CPJ; SRC_CRS_2009; SRC_BARG_2002_01; SRC_BARG_2002_02
CR-2001-02,Ratsiraka–Ravalomanana disputed presidential election and dual authority crisis,DISC_2002_003,2002-04-18,INST_SENEGAL,Republic of Senegal / Dakar mediation,"Dakar/OAU mediation framed the crisis as requiring negotiated verification, stability, and avoidance of civil conflict.","Dakar/OAU mediation framed the crisis as requiring negotiated verification, stability, and avoidance of civil conflict.",INST_SENEGAL; Senegal/Dakar; UN,Didier Ignace Ratsiraka; Marc Ravalomanana; Republic of Senegal / Dakar mediation; United Nations; claimant_or_signatory; host_or_mediator; mediator_or_observer; state_elite; foreign_state; international_organization,"Dakar I Agreement; Dakar II Agreement / Dakar II Settlement Plan; Provided for review/recount of presidential results, referendum if needed, government of national unity, consensus prime minister, and lifting of blockades/violence.; Proposed early legislative elections, transitional government and reconciliation council to settle competing presidential claims, but was overtaken by later political-constitutional developments.; Resolve competing presidential claims through mediated electoral/legal mechanism.; Move from dual authority toward accepted presidential settlement.",,DISCSRC_2002_DAKAR; SRC_CRS_2009; SRC_BARG_2002_01; SRC_BARG_2002_02
CR-2009,Ravalomanana–Rajoelina crisis and military-backed transfer to HAT,DISC_2009_001,2009-03-17,PER_010,Andry Nirina Rajoelina,Rajoelina’s 2009 claim is coded as popular/revolutionary legitimacy against alleged authoritarianism and exclusion by Ravalomanana.,Rajoelina’s 2009 claim is coded as popular/revolutionary legitimacy against alleged authoritarianism and exclusion by Ravalomanana.,,Marc Ravalomanana; Andry Nirina Rajoelina; Malagasy military / armed forces; Haute Cour Constitutionnelle; Haute Autorité de la Transition; African Union; claimant_or_signatory; claimant_or_transition_actor; coercive_or_transfer_actor; constitutional_court_or_formalizer; transition_authority; mediator_observer_or_norm_enforcer; state_elite; military; judicial_constitutional; transition_institution; regional_organization,"March 2009 military transfer ordinances and HAT institutional arrangement; Power passed from the president to military authority and then to Rajoelina/HAT. This was not a political agreement, but is an equivalent local settlement for executive formation.","A-2009-01; E-2009-01; E-2009-02; E-2009-03; modifies Article 15 shortly before executive rupture; dissolves government and transfers full powers to Military Directory; transfers full powers from Military Directory to Andry Rajoelina; creates HAT, suspends Senate and National Assembly, defines transition executive powers; formal_or_regular_revision; formalized_transition_or_exception",DISCSRC_2009_CRS; SRC_CRS_2009; SRC_BARG_2009_01; SRC_HCC_2009_AMEND; SRC_HCC_2009_ORDS; SRC_ACE_2009_003; ELTSRC_HOS
CR-2009,Ravalomanana–Rajoelina crisis and military-backed transfer to HAT,DISC_2009_002,2009-03-17,PER_008,Marc Ravalomanana,Ravalomanana and his supporters framed the 2009 transfer as a coup and defended constitutional continuity/electoral legality.,Ravalomanana and his supporters framed the 2009 transfer as a coup and defended constitutional continuity/electoral legality.,,Marc Ravalomanana; Andry Nirina Rajoelina; Malagasy military / armed forces; Haute Cour Constitutionnelle; Haute Autorité de la Transition; African Union; claimant_or_signatory; claimant_or_transition_actor; coercive_or_transfer_actor; constitutional_court_or_formalizer; transition_authority; mediator_observer_or_norm_enforcer; state_elite; military; judicial_constitutional; transition_institution; regional_organization,"March 2009 military transfer ordinances and HAT institutional arrangement; Power passed from the president to military authority and then to Rajoelina/HAT. This was not a political agreement, but is an equivalent local settlement for executive formation.","A-2009-01; E-2009-01; E-2009-02; E-2009-03; modifies Article 15 shortly before executive rupture; dissolves government and transfers full powers to Military Directory; transfers full powers from Military Directory to Andry Rajoelina; creates HAT, suspends Senate and National Assembly, defines transition executive powers; formal_or_regular_revision; formalized_transition_or_exception",DISCSRC_2009_CRS; SRC_CRS_2009; SRC_BARG_2009_01; SRC_HCC_2009_AMEND; SRC_HCC_2009_ORDS; SRC_ACE_2009_003
CR-2009,Ravalomanana–Rajoelina crisis and military-backed transfer to HAT,DISC_2009_003,2009-03-17,COL_2009_MD,Military Directory: Hippolyte Raharison Ramaroson; Ranto Rabarisoa; Rivo Hanitra Razafindralambo,The one-day Military Directory is coded as an emergency/necessity transfer actor that converted coercive authority into transitional authority.,The one-day Military Directory is coded as an emergency/necessity transfer actor that converted coercive authority into transitional authority.,,Marc Ravalomanana; Andry Nirina Rajoelina; Malagasy military / armed forces; Haute Cour Constitutionnelle; Haute Autorité de la Transition; African Union; claimant_or_signatory; claimant_or_transition_actor; coercive_or_transfer_actor; constitutional_court_or_formalizer; transition_authority; mediator_observer_or_norm_enforcer; state_elite; military; judicial_constitutional; transition_institution; regional_organization,"March 2009 military transfer ordinances and HAT institutional arrangement; Power passed from the president to military authority and then to Rajoelina/HAT. This was not a political agreement, but is an equivalent local settlement for executive formation.","A-2009-01; E-2009-01; E-2009-02; E-2009-03; modifies Article 15 shortly before executive rupture; dissolves government and transfers full powers to Military Directory; transfers full powers from Military Directory to Andry Rajoelina; creates HAT, suspends Senate and National Assembly, defines transition executive powers; formal_or_regular_revision; formalized_transition_or_exception",DISCSRC_2009_CRS; SRC_CRS_2009; SRC_BARG_2009_01; SRC_HCC_2009_AMEND; SRC_HCC_2009_ORDS; SRC_ACE_2009_003; ELTSRC_PMVP
CR-2009,Ravalomanana–Rajoelina crisis and military-backed transfer to HAT,DISC_2009_004,2009-03-17,INST_HAT,Haute Autorité de la Transition,Ordinance n°2009-003 framed HAT authority through legal organization of public powers after the rupture.,Ordinance n°2009-003 framed HAT authority through legal organization of public powers after the rupture.,,Marc Ravalomanana; Andry Nirina Rajoelina; Malagasy military / armed forces; Haute Cour Constitutionnelle; Haute Autorité de la Transition; African Union; claimant_or_signatory; claimant_or_transition_actor; coercive_or_transfer_actor; constitutional_court_or_formalizer; transition_authority; mediator_observer_or_norm_enforcer; state_elite; military; judicial_constitutional; transition_institution; regional_organization,"March 2009 military transfer ordinances and HAT institutional arrangement; Power passed from the president to military authority and then to Rajoelina/HAT. This was not a political agreement, but is an equivalent local settlement for executive formation.","A-2009-01; E-2009-01; E-2009-02; E-2009-03; modifies Article 15 shortly before executive rupture; dissolves government and transfers full powers to Military Directory; transfers full powers from Military Directory to Andry Rajoelina; creates HAT, suspends Senate and National Assembly, defines transition executive powers; formal_or_regular_revision; formalized_transition_or_exception",DISCSRC_2009_ORD003; SRC_CRS_2009; SRC_BARG_2009_01; SRC_HCC_2009_AMEND; SRC_HCC_2009_ORDS; SRC_ACE_2009_003
CR-2009-10,Maputo/Addis/Ivato transition bargaining after 2009 rupture,DISC_2009_005,2009-08-09,INST_SADC,Southern African Development Community,"The Maputo Charter framed transition through inclusiveness, power sharing, reconciliation, and internationally mediated return to order.","The Maputo Charter framed transition through inclusiveness, power sharing, reconciliation, and internationally mediated return to order.",mediator_guarantor_or_oversight_body; INST_SADC; SADC; UN; OIF,Didier Ignace Ratsiraka; Albert Zafy; Marc Ravalomanana; Andry Nirina Rajoelina; Southern African Development Community; African Union; United Nations; Organisation internationale de la Francophonie; Independent National Electoral Commission; Political actors / parties; Malagasy military / armed forces; Haute Autorité de la Transition; Civil society organizations; Three mouvances / political movement blocs; claimant_or_signatory; claimant_or_transition_actor; mediator_or_guarantor; mediator_observer_or_norm_enforcer,"Accord politique de Maputo; Charte des valeurs; Charte de la Transition; Accord n°1 de Maputo sur l’annulation des charges relatives aux événements de 2002; Accord n°2 de Maputo sur le cas du Président Marc Ravalomanana; Accord n°3 de Maputo sur l’annulation des poursuites et condamnations prononcées durant le régime Ravalomanana; Annexe 1 — Adhésion à la Charte nationale de la transition; Acte additionnel d’Addis-Abeba à la Charte de la Transition malgache; Résolutions des trois mouvances relatives à la mise en application des Accords de Maputo et de l’Acte additionnel d’Addis-Abeba; Accord politique d’Ivato; Core framework agreement of the 2009 crisis; set principles for an inclusive, consensual transition and cross-referenced amnesty/implementation arrangements.; Normative text committing the four leaders to non-violence, non-discrimination, tolerance, forgiveness, reconciliation and respect for promises during negotiations and transition.; Operative transition constitution: transitional presidency, vice-presidency, government of national unity, bicameral transition legislature, reconciliation committee, CENI, constitutional drafting, elections and amnesty framework.; Provided annulment of charges related to the 2002 political events as part of reconciliation/amnesty bargaining.; Addressed the treatment, return/security conditions and political/legal status of former President Marc Ravalomanana during the transition.; Annulled certain prosecutions and convictions of political, civilian and military figures from the Ravalomanana period.; Broadened participation beyond the four main mouvances by adding organizations and entities that adhered to the Transition Charter.","E-2009-04; E-2009-05; E-2010-01; C-2010-01; defines transitional principles, organs, election rules, amnesty and constitution-making principles; adds/clarifies transition power-sharing formula including presidential council logic; sets immediate political path toward referendum and Fourth Republic constitution; creates Fourth Republic and lowers presidential eligibility to 35; institutionalizes transition exit rules; formalized_transition_or_exception; formal_regular",DISCSRC_2009_PAX_MAPUTO; SRC_CRS_2009; SRC_BARG_2009_02; SRC_BARG_2009_03; SRC_BARG_2009_04; SRC_BARG_2009_05; SRC_BARG_2009_06; SRC_BARG_2009_07; SRC_BARG_2009_08; SRC_BARG_2009_09; SRC_BARG_2009_10; SRC_BARG_2010_01; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010
CR-2011,SADC Roadmap implementation crisis,DISC_2011_001,2011-09-17,INST_SADC,Southern African Development Community,"The SADC Roadmap framed legitimacy as return to constitutional order through negotiated, internationally monitored elections.","The SADC Roadmap framed legitimacy as return to constitutional order through negotiated, internationally monitored elections.",mediator_guarantor_or_oversight_body; INST_SADC; SADC; AU,Southern African Development Community; African Union; Parliament / National Assembly; Political actors / parties; mediator_or_guarantor; mediator_observer_or_norm_enforcer; formal_state_actor; participant_or_code_subject; regional_organization; legislature; political_actor,"Feuille de route pour la sortie de crise à Madagascar / SADC Roadmap; Cadre de mise en œuvre de la Feuille de route; Code d’éthique et de bonne conduite politique des acteurs politiques pendant la Transition; Breakthrough settlement after failures of Maputo/Addis/Ivato; provided transitional participation, consensus prime minister, government of national unity, election commitments, amnesty/reconciliation and international accompaniment.; Sequenced implementation of the SADC Roadmap, including consensus prime minister, transitional government and parliament.; Legal code of political conduct required by the Roadmap to regulate political actors during the transition, prevent discriminatory/abusive practices and support crisis-exit conditions.; Return to constitutional order through a roadmap and elections.; Form an inclusive transition government and institutions.; Commit political actors to electoral timetable and crisis exit.; Impose a code of ethical/political conduct during transition.","E-2011-01; sets return-to-order pathway, transition institutions, election and reconciliation commitments; formalized_transition_or_exception",DISCSRC_2011_MJP_ROADMAP; SRC_PEACEMAKER_2011_ROADMAP; SRC_BARG_2011_01; SRC_BARG_2011_02; SRC_BARG_2012_01; SRC_PEACEMAKER_2011
CR-2013,Election eligibility and exit-from-transition crisis,DISC_2013_001,2013-01-01,INST_SADC,Southern African Development Community,"The exit-from-transition debate is coded around eligibility bargaining, exile/return, and acceptability of candidates to local/international actors.","The exit-from-transition debate is coded around eligibility bargaining, exile/return, and acceptability of candidates to local/international actors.",AU; FFKM,Didier Ignace Ratsiraka; Albert Zafy; Marc Ravalomanana; Andry Nirina Rajoelina; Hery Martial Rajaonarimampianina Rakotoarimanana; Council of Christian Churches in Madagascar / FFKM; claimant_or_signatory; claimant_or_transition_actor; incumbent_or_transition_actor; moral_or_religious_mediator; state_elite; opposition_elite; religious_actor,FFKM-mediated five-presidents national reconciliation process; Attempted to stabilize the post-transition order through reconciliation among sitting and former presidents and a national reconciliation forum.,,DISCSRC_2013_ACCORD; SRC_PEACEMAKER_2011_ROADMAP; SRC_BARG_2014_15_01
CR-2018,Electoral law protest and consensus-prime-minister settlement,DISC_2018_001,2018-05-25,INST_HCC,Haute Cour Constitutionnelle,The HCC justified a consensus prime minister and government as a legal-institutional response to political conflict over electoral laws.,The HCC justified a consensus prime minister and government as a legal-institutional response to political conflict over electoral laws.,mediator_guarantor_or_oversight_body; INST_HCC; SADC; AU,Hery Martial Rajaonarimampianina Rakotoarimanana; Christian Louis Ntsay; Haute Cour Constitutionnelle; Haute Autorité de la Transition; Southern African Development Community; African Union; Opposition parties and blocs; Political actors / parties; Parliament / National Assembly; incumbent_or_transition_actor; consensus_prime_minister; constitutional_court_or_formalizer; transition_authority; mediator_or_guarantor; mediator_observer_or_norm_enforcer; opposition_actor; participant_or_code_subject; formal_state_actor,HCC-ordered consensus-prime-minister / unity-government arrangement; HCC ordered the end of the government and appointment of a consensus prime minister; political actors reached an agreement that led to Christian Ntsay's appointment and a consensus government for the electoral period.; Appoint a consensus Prime Minister and form a consensus government.; Revise or implement electoral legal framework to permit presidential election.,,DISCSRC_2018_HCC; SRC_HCC_2018_DEC18; SRC_BARG_2018_01
