crisis_id,crisis_name,bargain_id,bargain_date,bargain_name,document_title,document_type,bargain_type,condition_summary,implementation_status,settlement_effect,formalization_sequence,constitutional_context,discourse_evidence,source_ids
CR-2009-10,Maputo/Addis/Ivato transition bargaining after 2009 rupture,BARG-2009-06,2009-08-08,Accord n°2 de Maputo sur le cas du Président Marc Ravalomanana,Accord n°2 de Maputo sur le cas du Président Marc Ravalomanana,signed_political_agreement,internationally mediated ancillary accord,leader_status_or_return; Settle the case/return/status of Marc Ravalomanana.; elections_referendum_or_roadmap,implemented_or_formally_recognized,"Addressed the treatment, return/security conditions and political/legal status of former President Marc Ravalomanana during the transition.","2009-08-08; Accord n°2 de Maputo sur le cas du Président Marc Ravalomanana; Addressed the treatment, return/security conditions and political/legal status of former President Marc Ravalomanana during the transition.; signed_or_mediated_agreement; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010","E-2009-04; E-2009-05; E-2010-01; C-2010-01; defines transitional principles, organs, election rules, amnesty and constitution-making principles; adds/clarifies transition power-sharing formula including presidential council logic; sets immediate political path toward referendum and Fourth Republic constitution; creates Fourth Republic and lowers presidential eligibility to 35; institutionalizes transition exit rules; formalized_transition_or_exception; formal_regular","The Maputo Charter framed transition through inclusiveness, power sharing, reconciliation, and internationally mediated return to order.; inclusive transition and negotiated exit from crisis",SRC_BARG_2009_06; SRC_CRS_2009; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010; DISCSRC_2009_PAX_MAPUTO; ELTSRC_PMVP
CR-2009-10,Maputo/Addis/Ivato transition bargaining after 2009 rupture,BARG-2009-07,2009-08-08,Accord n°3 de Maputo sur l’annulation des poursuites et condamnations prononcées durant le régime Ravalomanana,Accord n°3 de Maputo sur l’annulation des poursuites et condamnations prononcées durant le régime Ravalomanana,signed_political_agreement,internationally mediated ancillary accord,amnesty_or_accountability; Annul or address prosecutions/convictions under the Ravalomanana regime.; elections_referendum_or_roadmap,implemented_or_formally_recognized,"Annulled certain prosecutions and convictions of political, civilian and military figures from the Ravalomanana period.","2009-08-08; Accord n°3 de Maputo sur l’annulation des poursuites et condamnations prononcées durant le régime Ravalomanana; Annulled certain prosecutions and convictions of political, civilian and military figures from the Ravalomanana period.; signed_or_mediated_agreement; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010","E-2009-04; E-2009-05; E-2010-01; C-2010-01; defines transitional principles, organs, election rules, amnesty and constitution-making principles; adds/clarifies transition power-sharing formula including presidential council logic; sets immediate political path toward referendum and Fourth Republic constitution; creates Fourth Republic and lowers presidential eligibility to 35; institutionalizes transition exit rules; formalized_transition_or_exception; formal_regular","The Maputo Charter framed transition through inclusiveness, power sharing, reconciliation, and internationally mediated return to order.; inclusive transition and negotiated exit from crisis",SRC_BARG_2009_07; SRC_CRS_2009; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010; DISCSRC_2009_PAX_MAPUTO; ELTSRC_PMVP
CR-2009-10,Maputo/Addis/Ivato transition bargaining after 2009 rupture,BARG-2009-08,2009-08-22,Annexe 1 — Adhésion à la Charte nationale de la transition,Annexe 1 — Adhésion à la Charte nationale de la transition,transition_charter,domestic/internationally supported adhesion instrument,elections_referendum_or_roadmap,implemented_or_formally_recognized,Broadened participation beyond the four main mouvances by adding organizations and entities that adhered to the Transition Charter.,2009-08-22; Annexe 1 — Adhésion à la Charte nationale de la transition; Broadened participation beyond the four main mouvances by adding organizations and entities that adhered to the Transition Charter.; transition_charter; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010,"E-2009-04; E-2009-05; E-2010-01; C-2010-01; defines transitional principles, organs, election rules, amnesty and constitution-making principles; adds/clarifies transition power-sharing formula including presidential council logic; sets immediate political path toward referendum and Fourth Republic constitution; creates Fourth Republic and lowers presidential eligibility to 35; institutionalizes transition exit rules; formalized_transition_or_exception; formal_regular","The Maputo Charter framed transition through inclusiveness, power sharing, reconciliation, and internationally mediated return to order.; inclusive transition and negotiated exit from crisis",SRC_BARG_2009_08; SRC_CRS_2009; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010; DISCSRC_2009_PAX_MAPUTO; ELTSRC_PMVP
CR-2009-10,Maputo/Addis/Ivato transition bargaining after 2009 rupture,BARG-2009-09,2009-11-06,Acte additionnel d’Addis-Abeba à la Charte de la Transition malgache,Acte additionnel d’Addis-Abeba à la Charte de la Transition malgache,transition_charter,internationally mediated amending act,executive_power_sharing; Revise the transition charter through additional presidential council / shared executive formula.; elections_referendum_or_roadmap,implemented_or_formally_recognized,"Amended the Maputo transition architecture, especially the allocation and composition of transitional offices after implementation disputes.","2009-11-06; Acte additionnel d’Addis-Abeba à la Charte de la Transition malgache; Amended the Maputo transition architecture, especially the allocation and composition of transitional offices after implementation disputes.; transition_charter; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010","E-2009-04; E-2009-05; E-2010-01; C-2010-01; defines transitional principles, organs, election rules, amnesty and constitution-making principles; adds/clarifies transition power-sharing formula including presidential council logic; sets immediate political path toward referendum and Fourth Republic constitution; creates Fourth Republic and lowers presidential eligibility to 35; institutionalizes transition exit rules; formalized_transition_or_exception; formal_regular","The Maputo Charter framed transition through inclusiveness, power sharing, reconciliation, and internationally mediated return to order.; inclusive transition and negotiated exit from crisis",SRC_BARG_2009_09; SRC_CRS_2009; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010; DISCSRC_2009_PAX_MAPUTO; ELTSRC_PMVP
CR-2009-10,Maputo/Addis/Ivato transition bargaining after 2009 rupture,BARG-2009-10,2009-12,Résolutions des trois mouvances relatives à la mise en application des Accords de Maputo et de l’Acte additionnel d’Addis-Abeba,Résolutions des trois mouvances relatives à la mise en application des Accords de Maputo et de l’Acte additionnel d’Addis-Abeba,signed_political_agreement,partial follow-on implementation resolution,elections_referendum_or_roadmap,signed_but_failed_or_partially_implemented,"Attempted to continue implementation of Maputo/Addis after Rajoelina's withdrawal/refusal, but lacked full buy-in.","2009-12; Résolutions des trois mouvances relatives à la mise en application des Accords de Maputo et de l’Acte additionnel d’Addis-Abeba; Attempted to continue implementation of Maputo/Addis after Rajoelina's withdrawal/refusal, but lacked full buy-in.; signed_or_mediated_agreement; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010","E-2009-04; E-2009-05; E-2010-01; C-2010-01; defines transitional principles, organs, election rules, amnesty and constitution-making principles; adds/clarifies transition power-sharing formula including presidential council logic; sets immediate political path toward referendum and Fourth Republic constitution; creates Fourth Republic and lowers presidential eligibility to 35; institutionalizes transition exit rules; formalized_transition_or_exception; formal_regular","The Maputo Charter framed transition through inclusiveness, power sharing, reconciliation, and internationally mediated return to order.; inclusive transition and negotiated exit from crisis",SRC_BARG_2009_10; SRC_CRS_2009; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010; DISCSRC_2009_PAX_MAPUTO; ELTSRC_PMVP
CR-2011,SADC Roadmap implementation crisis,BARG-2011-01,2011-09-17,Feuille de route pour la sortie de crise à Madagascar / SADC Roadmap,Feuille de route pour la sortie de crise à Madagascar / SADC Roadmap,roadmap,SADC-mediated political roadmap,return_to_constitutional_order; inclusive_government; election_timetable; Return to constitutional order through a roadmap and elections.; Form an inclusive transition government and institutions.; Commit political actors to electoral timetable and crisis exit.; elections_referendum_or_roadmap,implemented_or_formally_recognized,"Breakthrough settlement after failures of Maputo/Addis/Ivato; provided transitional participation, consensus prime minister, government of national unity, election commitments, amnesty/reconciliation and international accompaniment.","2011-09-17; Feuille de route pour la sortie de crise à Madagascar / SADC Roadmap; Breakthrough settlement after failures of Maputo/Addis/Ivato; provided transitional participation, consensus prime minister, government of national unity, election commitments, amnesty/reconciliation and international accompaniment.; mediated_roadmap; E-2011-01; internationally_mediated_roadmap; SRC_PEACEMAKER_2011","E-2011-01; sets return-to-order pathway, transition institutions, election and reconciliation commitments; formalized_transition_or_exception","The SADC Roadmap framed legitimacy as return to constitutional order through negotiated, internationally monitored elections.; roadmap for ending the crisis",SRC_BARG_2011_01; SRC_PEACEMAKER_2011_ROADMAP; SRC_PEACEMAKER_2011; DISCSRC_2011_MJP_ROADMAP; ELTSRC_PMVP
CR-2011,SADC Roadmap implementation crisis,BARG-2011-02,2011-10-14,Cadre de mise en œuvre de la Feuille de route,Cadre de mise en œuvre de la Feuille de route,roadmap,implementation framework,elections_referendum_or_roadmap,partial_or_process_needs_verification,"Sequenced implementation of the SADC Roadmap, including consensus prime minister, transitional government and parliament.","2011-10-14; Cadre de mise en œuvre de la Feuille de route; Sequenced implementation of the SADC Roadmap, including consensus prime minister, transitional government and parliament.; mediated_roadmap; E-2011-01; internationally_mediated_roadmap; SRC_PEACEMAKER_2011","E-2011-01; sets return-to-order pathway, transition institutions, election and reconciliation commitments; formalized_transition_or_exception","The SADC Roadmap framed legitimacy as return to constitutional order through negotiated, internationally monitored elections.; roadmap for ending the crisis",SRC_BARG_2011_02; SRC_PEACEMAKER_2011_ROADMAP; SRC_PEACEMAKER_2011; DISCSRC_2011_MJP_ROADMAP; ELTSRC_PMVP
CR-2011,SADC Roadmap implementation crisis,BARG-2012-01,2012-07-30,Code d’éthique et de bonne conduite politique des acteurs politiques pendant la Transition,Code d’éthique et de bonne conduite politique des acteurs politiques pendant la Transition,roadmap,domestic legal implementation of mediated roadmap,political_conduct; Impose a code of ethical/political conduct during transition.; elections_referendum_or_roadmap,implemented_or_formally_recognized,"Legal code of political conduct required by the Roadmap to regulate political actors during the transition, prevent discriminatory/abusive practices and support crisis-exit conditions.","2012-07-30; Code d’éthique et de bonne conduite politique des acteurs politiques pendant la Transition; Legal code of political conduct required by the Roadmap to regulate political actors during the transition, prevent discriminatory/abusive practices and support crisis-exit conditions.; mediated_roadmap; E-2011-01; internationally_mediated_roadmap; SRC_PEACEMAKER_2011","E-2011-01; sets return-to-order pathway, transition institutions, election and reconciliation commitments; formalized_transition_or_exception","The SADC Roadmap framed legitimacy as return to constitutional order through negotiated, internationally monitored elections.; roadmap for ending the crisis",SRC_BARG_2012_01; SRC_PEACEMAKER_2011_ROADMAP; SRC_PEACEMAKER_2011; DISCSRC_2011_MJP_ROADMAP; ELTSRC_PMVP
CR-2018,Electoral law protest and consensus-prime-minister settlement,BARG-2018-01,2018-05-25,HCC-ordered consensus-prime-minister / unity-government arrangement,HCC-ordered consensus-prime-minister / unity-government arrangement,constitutional_court_decision,domestic constitutional compromise with political agreement,consensus_government; electoral_framework; Appoint a consensus Prime Minister and form a consensus government.; Revise or implement electoral legal framework to permit presidential election.; elections_referendum_or_roadmap,implemented_or_formally_recognized,HCC ordered the end of the government and appointment of a consensus prime minister; political actors reached an agreement that led to Christian Ntsay's appointment and a consensus government for the electoral period.,2018-05-25; HCC-ordered consensus-prime-minister / unity-government arrangement; HCC ordered the end of the government and appointment of a consensus prime minister; political actors reached an agreement that led to Christian Ntsay's appointment and a consensus government for the electoral period.; constitutional_court_decision,,The HCC justified a consensus prime minister and government as a legal-institutional response to political conflict over electoral laws.; The 2018 consensus government was framed as a stabilization device to preserve the electoral process and reduce conflict.; prevent escalation and organize election,SRC_BARG_2018_01; SRC_HCC_2018_DEC18; DISCSRC_2018_HCC; DISCSRC_2018_AU; ELTSRC_HOS; ELTSRC_PMVP
CR-2023,Presidential election legitimacy crisis and opposition boycott,BARG-2023-01,2023-11-30,Collectif des candidats proposal for an interim structure / opposition roadmap,Collectif des candidats proposal for an interim structure / opposition roadmap,roadmap,"unilateral political proposal, not agreement",elections_referendum_or_roadmap,not_adopted_or_failed_proposal,"Opposition actors proposed an interim structure/roadmap during the 2023 electoral legitimacy crisis, but it did not become a negotiated national agreement.","2023-11-30; Collectif des candidats proposal for an interim structure / opposition roadmap; Opposition actors proposed an interim structure/roadmap during the 2023 electoral legitimacy crisis, but it did not become a negotiated national agreement.; mediated_roadmap",,"Opposition discourse in 2023 framed the election as illegitimate through citizenship, institutional-coup, and exclusion claims.; Rajoelina’s 2023 claim is coded as electoral mandate/legal continuity after reelection despite opposition contestation.; The HCC framed interim head-of-state functions as legal continuity during the electoral interim period.",SRC_BARG_2023_01; SRC_COMMONS_2023; DISCSRC_2023_ALJAZEERA; DISCSRC_2023_UKPARL; DISCSRC_2023_HCC; ELTSRC_HOS
